"ETA ID","VESSEL ID","PLACE ID","ETA","TERMINAL","VOYAGE","ETA SOURCE","RECORD CREATED","RECORD LAST UPDATED"
282678490,11126330,1590,"20/02/2018 14:00","","","AIS","20/02/2018 02:07:03","20/02/2018 02:07:04"
282755295,11126330,3381,"12/03/2018 12:00","","","AIS","21/02/2018 17:04:02","21/02/2018 17:04:02"
282782881,11132358,1208,"23/02/2018 00:00","","","AIS","22/02/2018 01:05:04","22/02/2018 01:05:04"
282676905,11132360,2849,"20/02/2018 07:00","","","LAN","20/02/2018 01:03:03","20/02/2018 01:03:03"
282703504,11132360,2849,"20/02/2018 07:54","","","LAN","20/02/2018 10:07:00","20/02/2018 10:07:01"
282781934,11132361,5322,"24/02/2018 01:24","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:09"
282786170,11137916,3174,"23/02/2018 02:00","","","AIS","22/02/2018 06:07:04","22/02/2018 06:07:04"
282681058,11138228,5863,"20/02/2018 22:00","","","AIS","20/02/2018 06:06:01","20/02/2018 06:06:01"
282750526,11138540,8842,"21/02/2018 02:50","","","AIS","21/02/2018 10:05:00","21/02/2018 10:05:00"
282709801,11139154,2249,"19/02/2018 10:00","","","AIS","20/02/2018 15:12:04","20/02/2018 15:12:05"
282740755,11139160,365,"07/03/2018 06:00","","","AIS","21/02/2018 04:13:04","21/02/2018 04:13:04"
282712143,11139179,6053,"21/02/2018 00:01","","","AIS","20/02/2018 18:05:02","20/02/2018 18:05:03"
282764137,11139179,1504,"23/02/2018 23:00","","","LAN","21/02/2018 23:43:01","21/02/2018 23:43:05"
282711034,11139217,5863,"21/02/2018 12:00","","","AIS","20/02/2018 17:07:00","20/02/2018 17:07:00"
282801275,11139222,7895,"22/02/2018 23:00","","","AIS","22/02/2018 16:06:00","22/02/2018 16:06:01"
282679055,11139231,1698,"15/03/2018 08:00","","","AIS","20/02/2018 03:04:00","20/02/2018 03:04:01"
282765050,11139234,5135,"22/02/2018 10:00","","","LAN","21/02/2018 23:44:01","21/02/2018 23:44:02"
282786305,11139244,187,"24/02/2018 11:00","","","AIS","22/02/2018 06:07:04","22/02/2018 06:07:04"
282751592,11139245,4303,"24/02/2018 13:00","","","AIS","21/02/2018 11:06:04","21/02/2018 11:06:05"
282706086,11139247,3283,"22/02/2018 18:00","","","AIS","20/02/2018 10:09:01","20/02/2018 10:09:01"
282714242,11139251,7584,"03/03/2018 00:00","","","AIS","20/02/2018 21:05:02","20/02/2018 21:05:03"
282800429,11139256,2996,"22/02/2018 10:00","","","AIS","22/02/2018 15:04:01","22/02/2018 15:04:02"
282667282,11139263,3610,"22/03/2018 12:00","","","AIS","19/02/2018 18:06:01","19/02/2018 18:06:02"
282753794,11139264,1165,"21/02/2018 16:00","","","AIS","21/02/2018 14:05:01","21/02/2018 14:05:01"
282784965,11139264,7583,"02/03/2018 06:00","","","AIS","22/02/2018 05:05:00","22/02/2018 05:05:00"
282706860,11140417,7705,"23/02/2018 07:00","","","AIS","20/02/2018 11:05:03","20/02/2018 11:05:04"
282710454,11144999,2664,"02/03/2018 15:00","","","AIS","20/02/2018 16:02:00","20/02/2018 16:02:01"
282752023,11145000,731,"24/02/2018 12:00","","","AIS","21/02/2018 12:07:04","21/02/2018 12:07:05"
282794018,11145002,2474,"22/02/2018 16:00","","","AIS","22/02/2018 08:09:02","22/02/2018 08:09:03"
282797206,11145002,593,"23/02/2018 03:00","","","AIS","22/02/2018 11:04:02","22/02/2018 11:04:02"
282750847,11145003,6196,"21/02/2018 20:45","","","AIS","21/02/2018 10:05:00","21/02/2018 10:05:00"
282742168,11145004,4717,"22/02/2018 16:30","","","AIS","21/02/2018 06:10:01","21/02/2018 06:10:01"
282783991,11145007,3326,"22/02/2018 12:00","","","AIS","22/02/2018 03:05:03","22/02/2018 03:05:04"
282666556,11145011,4204,"19/02/2018 23:00","","","AIS","19/02/2018 17:04:03","19/02/2018 17:04:03"
282680004,11145011,4711,"21/02/2018 06:00","","","AIS","20/02/2018 05:04:02","20/02/2018 05:04:03"
282671584,11145012,8842,"26/02/2018 05:00","","","AIS","19/02/2018 21:04:00","19/02/2018 21:04:01"
282779478,11145017,5094,"28/02/2018 03:01","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282780374,11145017,5094,"03/03/2018 08:00","","","LAN","21/02/2018 23:54:03","21/02/2018 23:54:03"
282758233,11145046,8108,"07/03/2018 05:00","","","AIS","21/02/2018 21:05:01","21/02/2018 21:05:03"
282742879,11145047,5708,"23/02/2018 03:00","","","AIS","21/02/2018 07:08:04","21/02/2018 07:08:05"
282678990,11145053,4915,"28/02/2018 02:00","","","AIS","20/02/2018 03:04:00","20/02/2018 03:04:01"
282710484,11145054,1846,"20/02/2018 15:00","","","AIS","20/02/2018 16:02:00","20/02/2018 16:02:01"
282765756,11145054,1846,"20/02/2018 17:30","","","LAN","21/02/2018 23:45:01","21/02/2018 23:45:02"
282782292,11145054,1846,"21/02/2018 15:00","","","LAN","22/02/2018 01:03:04","22/02/2018 01:03:10"
282740756,11145055,3315,"25/02/2018 22:00","","","AIS","21/02/2018 04:13:04","21/02/2018 04:13:04"
