"VESSEL ID","RELATIONSHIP TYPE","CURRENT IND","COMPANY ID","COMPANY NAME","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
9456082,"TM","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
411921,"RO","Y",500574,"Arsland Derg Limited","17/01/2018","","","","21/02/2018"
216356,"RO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
216356,"TM","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"TM","",11336,"Prince Kaiun Company Limited","27/03/2006","A","17/12/2017","B","21/02/2018"
216356,"BO","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"CO","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"BO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
216356,"CO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
10062050,"RO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"RO","",80716,"P.U. Vision Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"BO","Y",7227,"IMC Shipping Company Private Limited","24/08/2017","B","","","20/02/2018"
10062050,"CO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"BO","",12411,"Pan-United Corporation Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"CO","",226300,"Pan-United Shipping Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"TM","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"TM","",226300,"Pan-United Shipping Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
12827980,"BO","",212646,"Unknown Owners","01/01/2017","B","07/11/2017","B","20/02/2018"
11006508,"TM","Y",100662,"Heng Tong Fuels & Shipping Private Limited","08/08/2012","B","","","22/02/2018"
11127273,"TP","Y",286295,"United Maritime Australia Proprietary Limited","26/12/2017","B","","","22/02/2018"
12236390,"BO","Y",4590,"Hsu family group","10/03/2017","B","","","21/02/2018"
12236390,"BO","",4590,"Hsu family group","01/01/2013","B","09/03/2017","","21/02/2018"
12244468,"BO","Y",4590,"Hsu family group","07/01/2016","A","","","21/02/2018"
12427581,"BO","Y",4590,"Hsu family group","10/02/2015","B","","","21/02/2018"
12427581,"CO","Y",15242,"Sincere Navigation Corporation","10/02/2015","B","","","21/02/2018"
12568485,"RO","Y",500554,"Miura Shipping S.A.","08/02/2018","A","","","21/02/2018"
12568485,"RO","",5050,"Evalend Shipping Company S.A.","01/09/2015","B","07/02/2018","B","21/02/2018"
12568485,"TM","Y",247898,"Bernhard Schulte Shipmanagement (Hellas) SPLL C.","08/02/2018","A","","","21/02/2018"
12827980,"CO","",212646,"Unknown Owners","25/10/2014","B","07/11/2017","B","20/02/2018"
12827980,"TM","Y",255856,"L-Shipping Limited","08/11/2017","B","","","20/02/2018"
12869873,"RO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"BO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"CO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"TM","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
113116,"RO","Y",500530,"Rose M Shipping Incorporated","16/02/2018","","","","20/02/2018"
113116,"RO","",356823,"Aegean Rose Maritime Company","16/05/2012","B","15/02/2018","","20/02/2018"
113116,"BO","Y",212646,"Unknown Owners","16/02/2018","","","","20/02/2018"
113116,"CO","Y",212646,"Unknown Owners","16/02/2018","","","","20/02/2018"
113116,"BO","",47231,"Aegean Marine Petroleum S.A.","16/05/2012","B","15/02/2018","","20/02/2018"
113116,"CO","",261559,"Aegean Management Services M.C.","16/05/2012","B","15/02/2018","","20/02/2018"
224550,"BO","",4590,"Hsu family group","01/01/1990","","30/09/1996","","21/02/2018"
215352,"RO","",68352,"Methal Maritime Company","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"RO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"BO","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"CO","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"BO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"CO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"TM","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"TM","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
114562,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","21/02/2005","B","12/02/2009","B","22/02/2018"
114562,"CO","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","21/02/2005","B","12/02/2009","B","22/02/2018"
114562,"TM","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","21/02/2005","B","12/02/2009","B","22/02/2018"
427002,"BO","",4590,"Hsu family group","10/01/2011","","31/07/2013","B","21/02/2018"
574964,"RO","Y",243319,"Amphicleia Shipping Incorporated","01/09/2015","A","","","21/02/2018"
