"VESSEL ID","PSC ID","EVENT TYPE","INSPECTION PLACE","INITIAL DATE","INITIAL DATE QUALIFIER","FINAL DATE","FINAL DATE QUALIFIER","DETENTION IND","DEFICIENCIES IND","INSPECTION PRECIS","RECORD LAST UPDATED"
11888271,15373381,"PSC","Odessa","06/02/2018","","","","N","N","","20/02/2018"
325407,15373383,"PSC","Nikolayev","06/02/2018","","","","N","N","","20/02/2018"
1634362,15373384,"PSC","Nikolayev","06/02/2018","","","","N","N","","20/02/2018"
12472932,15373385,"PSC","Novorossiysk","06/02/2018","","","","N","N","","20/02/2018"
12035250,15373386,"PSC","Taman","06/02/2018","","","","Y","N","","20/02/2018"
355957,15373387,"PSC","Tuapse","06/02/2018","","","","Y","N","","20/02/2018"
756781,15373388,"PSC","Tuapse","06/02/2018","","","","Y","N","","20/02/2018"
11069914,15373391,"PSC","Taman","06/02/2018","","","","N","N","","20/02/2018"
236434,15373393,"PSC","Chornomorsk","05/02/2018","","","","Y","N","","20/02/2018"
279517,15373396,"PSC","Odessa","05/02/2018","","","","Y","N","","20/02/2018"
11230969,15373397,"PSC","Nikolayev","05/02/2018","","","","N","N","","20/02/2018"
10326006,15373398,"PSC","Nikolayev","05/02/2018","","","","N","N","","20/02/2018"
287544,15373399,"PSC","Nikolayev","05/02/2018","","","","N","N","","20/02/2018"
350434,15373400,"PSC","Nikolayev","05/02/2018","","","","N","N","","20/02/2018"
10237589,15373401,"PSC","Nikolayev","05/02/2018","","","","N","N","","20/02/2018"
12237232,15373404,"PSC","Novorossiysk","05/02/2018","","","","Y","N","","20/02/2018"
11905440,15373405,"PSC","Novorossiysk","05/02/2018","","","","N","N","","20/02/2018"
10302021,15373406,"PSC","Novorossiysk","05/02/2018","","","","Y","N","","20/02/2018"
12404971,15373407,"PSC","Yuzhnyy","02/02/2018","","","","Y","N","","20/02/2018"
10308526,15373408,"PSC","Novorossiysk","30/01/2018","","","","Y","N","","20/02/2018"
610986,15380372,"PSC","Degrad des Cannes","19/01/2018","","","","Y","N","","22/02/2018"
399158,15380374,"PSC","St. Eustatius","05/02/2018","","","","Y","N","","22/02/2018"
278884,15380378,"PSC","Bonaire","26/01/2018","","","","Y","N","","22/02/2018"
3690700,15380379,"PSC","Kingston(JAM)","06/02/2018","","06/02/2018","","Y","Y","","22/02/2018"
357472,15380383,"PSC","St. Eustatius","24/01/2018","","","","Y","N","","22/02/2018"
749022,15380384,"PSC","Bonaire","31/01/2018","","","","Y","N","","22/02/2018"
328881,15380386,"PSC","Bonaire","22/01/2018","","","","Y","N","","22/02/2018"
